Return As of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
Scheme Name,Objective,Type,Ret 6 Mth,Rank/Count,Ret 1 Yr,Rank/Count,Ret 2 Yr,Rank/Count,Ret 3 Yr,Rank/Count,Ret 5 Yr,Rank/Count,Ret 10 Yr,Rank/Count
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,Equity: Thematic,Open-ended,24.78,34 ( 76 ) ,51.31,25 ( 61 ) ,35.73,20 ( 42 ) ,18.38,17 ( 27 ) ,20.34,13 ( 18 ) ,-,-
Aditya Birla Sun Life Mid Cap Fund - Direct Plan,Equity: Mid Cap,Open-ended,20.7,35 ( 46 ) ,51.13,32 ( 45 ) ,35.85,29 ( 36 ) ,24.69,21 ( 31 ) ,22.72,21 ( 24 ) ,17.19,19 ( 20 ) 
Aditya Birla Sun Life Mid Cap Fund - Regular Plan,Equity: Mid Cap,Open-ended,20.19,42 ( 46 ) ,49.84,38 ( 45 ) ,34.66,33 ( 36 ) ,23.6,22 ( 31 ) ,21.63,23 ( 24 ) ,16.15,20 ( 20 ) 
Aditya Birla Sun Life MNC Fund - Direct Plan,Equity: Thematic-MNC,Open-ended,21.63,1 ( 6 ) ,40.64,1 ( 6 ) ,27.37,2 ( 4 ) ,14.14,3 ( 4 ) ,14.31,4 ( 4 ) ,14.66,3 ( 3 ) 
Aditya Birla Sun Life MNC Fund - Regular Plan,Equity: Thematic-MNC,Open-ended,21.19,2 ( 6 ) ,39.61,2 ( 6 ) ,26.42,2 ( 4 ) ,13.29,3 ( 4 ) ,13.41,4 ( 4 ) ,13.62,3 ( 3 ) 
Aditya Birla Sun Life Multi - Index FoF - Direct Plan,Hybrid: Multi Asset Allocation,Open-ended,18.35,2 ( 30 ) ,39.12,2 ( 27 ) ,-,-,-,-,-,-,-,-
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,Hybrid: Multi Asset Allocation,Open-ended,18.16,2 ( 30 ) ,38.67,2 ( 27 ) ,-,-,-,-,-,-,-,-
Aditya Birla Sun Life Multi Asset Allocation Fund - Direct Plan,Hybrid: Multi Asset Allocation,Open-ended,15.47,14 ( 30 ) ,27.4,16 ( 27 ) ,-,-,-,-,-,-,-,-
Aditya Birla Sun Life Multi Asset Allocation Fund - Regular Plan,Hybrid: Multi Asset Allocation,Open-ended,14.61,14 ( 30 ) ,25.41,17 ( 27 ) ,-,-,-,-,-,-,-,-
Aditya Birla Sun Life Multi-Cap Fund - Direct Plan,Equity: Multi Cap,Open-ended,22.53,13 ( 23 ) ,43.37,17 ( 19 ) ,33.52,13 ( 14 ) ,22.33,6 ( 9 ) ,-,-,-,-
Aditya Birla Sun Life Multi-Cap Fund - Regular Plan,Equity: Multi Cap,Open-ended,21.81,13 ( 23 ) ,41.48,17 ( 19 ) ,31.73,13 ( 14 ) ,20.47,7 ( 9 ) ,-,-,-,-
Aditya Birla Sun Life NASDAQ 100 FOF - Direct Plan,Equity: International,Open-ended,22.66,12 ( 63 ) ,35,11 ( 62 ) ,35.08,7 ( 59 ) ,-,-,-,-,-,-
Aditya Birla Sun Life NASDAQ 100 FOF - Regular Plan,Equity: International,Open-ended,22.42,14 ( 63 ) ,34.49,15 ( 62 ) ,34.57,9 ( 59 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,Equity: Large Cap,Open-ended,30.95,26 ( 156 ) ,69.34,2 ( 150 ) ,-,-,-,-,-,-,-,-
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,Equity: Thematic,Open-ended,15.38,62 ( 76 ) ,36.07,47 ( 61 ) ,-,-,-,-,-,-,-,-
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Direct Plan,Equity: Large Cap,Open-ended,14.97,61 ( 156 ) ,36.29,46 ( 150 ) ,31.4,33 ( 130 ) ,20.75,21 ( 108 ) ,-,-,-,-
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Regular Plan,Equity: Large Cap,Open-ended,14.61,87 ( 156 ) ,35.44,64 ( 150 ) ,30.55,48 ( 130 ) ,19.98,31 ( 108 ) ,-,-,-,-
