Daily NAV Change as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3
Multi Cap,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Multi-Cap Fund - Regular Plan,19.27,19.16,0.57
Axis Multicap Fund - Regular Plan,16.86,16.75,0.66
Bandhan Multi Cap Fund - Regular Plan,16.825,16.701,0.74
Baroda BNP Paribas Multi Cap Fund,282.1457,279.9554,0.78
HDFC Multi Cap Fund - Regular Plan,18.881,18.758,0.66
HSBC Multi Cap Fund - Regular Plan,18.4425,18.2823,0.88
ICICI Prudential Multicap Fund,760.27,756.09,0.55
Invesco India Multicap Fund,126.1,125.17,0.74
Kotak Multicap Fund - Regular Plan,18.684,18.507,0.96
Mahindra Manulife Multi Cap Fund - Regular Plan,35.0183,34.7411,0.8
Nippon India Multi Cap Fund,291.7361,289.3942,0.81
SBI Multicap Fund - Regular Plan,15.6227,15.5478,0.48
Sundaram Multi Cap Fund,370.4925,368.8226,0.45
Tata Multicap Fund - Regular Plan,14.7568,14.6205,0.93
Nifty 500 Multicap 50:25:25 Total Return Index,20600.3,20438.59,0.79
,,,
ESG Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan,16.93,16.82,0.65
Axis ESG Integration Strategy Fund - Regular Plan,20.93,20.81,0.58
ICICI Prudential ESG Exclusionary Strategy Fund,20.48,20.33,0.74
Invesco India ESG Integration Strategy Fund - Regular Plan,17.24,17.13,0.64
Kotak ESG Exclusionary Strategy Fund - Regular Plan,17.026,16.942,0.5
SBI ESG Exclusionary Strategy Fund,236.7969,234.987,0.77
NIFTY 100 ESG Total Return Index,5739.44,5695.17,0.78
,,,
ELSS Schemes,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life ELSS Tax Saver - Regular Plan,205.38,204.59,0.39
Axis ELSS Tax Saver Fund,92.3811,91.784,0.65
Bandhan ELSS Tax Saver Fund - Regular Plan,151.938,151.023,0.61
Canara Robeco ELSS Tax Saver Fund - Regular Plan,50.53,50.27,0.52
DSP ELSS Tax Saver Fund,133.763,132.365,1.06
Franklin India ELSS Tax Saver Fund,1430.4538,1423.4883,0.49
HDFC ELSS Tax Saver Fund,1322.499,1311.704,0.82
HSBC ELSS Tax Saver Fund,130.7181,129.638,0.83
ICICI Prudential ELSS Tax Saver,870.6,864.99,0.65
Invesco India ELSS Tax Saver Fund,122.96,122.06,0.74
Kotak ELSS Tax Saver - Regular Plan,117.644,116.595,0.9
Mirae Asset ELSS Tax Saver Fund - Regular Plan,46.584,46.28,0.66
Motilal Oswal ELSS Tax Saver Fund - Regular Plan,48.5212,48.3228,0.41
Nippon India ELSS Tax Saver Fund,127.1669,126.2175,0.75
Parag Parikh ELSS Tax Saver Fund - Regular Plan,29.2163,28.9225,1.02
SBI Long Term Equity Fund - Regular Plan,427.5571,423.9932,0.84
Sundaram ELSS Tax Saver Fund,491.6676,488.4944,0.65
Tata ELSS Tax Saver Fund,101.4551,100.4384,1.01
UTI ELSS Tax Saver Fund,204.9,203.3412,0.77
S&P BSE 200 Total Return Index,14282.65,14177.17,0.74
S&P BSE 200 Index,11238.43,11155.43,0.74
S&P BSE Sensex Total Return Index,123464.61,122622.82,0.69
S&P BSE Sensex Index,79986.8,79441.45,0.69
NIFTY 50 Total Return,35947.53,35706.77,0.67
NIFTY 500 Total Return Index,35966.18,35693.16,0.76
,,,
Midcap Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Mid Cap Fund - Regular Plan,761.17,757.12,0.53
Axis Midcap Fund,110.13,109.29,0.77
Baroda BNP Paribas Midcap Fund,101.266,100.4311,0.83
Canara Robeco Mid Cap Fund - Regular Plan,16.61,16.45,0.97
DSP Midcap Fund - Regular Plan,143.946,142.902,0.73
Edelweiss Mid Cap Fund - Regular Plan,94.469,93.561,0.97
Franklin India Prima Fund,2642.1827,2623.2742,0.72
HDFC Mid-Cap Opportunities Fund,182.582,180.915,0.92
HSBC Midcap Fund,376.9801,373.2908,0.99
ICICI Prudential Midcap Fund,290.49,288.81,0.58
Invesco India Mid Cap Fund,155.65,154.86,0.51
Kotak Emerging Equity Fund - Regular Plan,129.536,128.073,1.14
Mahindra Manulife Mid Cap Fund - Regular Plan,33.2699,32.9438,0.99
Mirae Asset Midcap Fund - Regular Plan,35.081,34.942,0.4
Motilal Oswal Midcap Fund - Regular Plan,96.3037,95.5785,0.76
Nippon India Growth Fund,3925.8931,3899.2702,0.68
PGIM India Midcap Opportunities Fund - Regular Plan,62.94,62.52,0.67
SBI Magnum Midcap Fund,234.7759,233.5705,0.52
Sundaram Mid Cap Fund - Regular Plan,1294.9842,1286.4317,0.66
Tata Midcap Growth Fund - Regular Plan,439.8716,435.9772,0.89
UTI Mid Cap Fund - Regular Plan,300.6553,298.4449,0.74
NIFTY Midcap 100 Total Return Index,75762.34,75172.04,0.79
NIFTY Midcap 100 Index,56293.3,55854.7,0.79
NIFTY Smallcap 100 Total Return Index,23899.46,23653.6,1.04
S&P BSE Mid Cap Total Return Index,58931.78,58428.61,0.86
NIFTY Midcap 150 Total Return Index,26573.14,26367.76,0.78
,,,
Small Cap Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Small Cap Fund - Regular Plan,88.4293,88.0333,0.45
Axis Small Cap Fund - Regular Plan,101.91,101.6,0.31
Bandhan Small Cap Fund - Regular Plan,42.211,41.891,0.76
Canara Robeco Small Cap Fund - Regular Plan,39.79,39.6,0.48
DSP Small Cap Fund - Regular Plan,188.334,187.75,0.31
